PC1,PC2,Cluster,HC_Cluster,DBscan_Cluster
-0.7671951420142505,1.2476840236176512,1,3,0
-1.3699060068052469,-0.7562817706835547,0,0,0
-1.0948034361349346,0.3718505401285514,1,2,1
-1.5984079080273297,-0.6257045367977002,0,0,0
-0.9912142512664475,0.8307601598261559,1,3,0
-1.329552547006406,0.03980494944737357,1,0,0
4.37147667166749,-1.1727826337872769,2,1,-1
-2.3500483427116254,0.3675942017002843,1,0,0
1.8968017823011722,2.948662700802788,2,1,1
-1.4501067879390854,-0.7629246568363741,0,0,0
1.5940780949419893,-0.46647481508374394,2,1,-1
2.9953809310524804,-2.4930059422362336,2,1,1
-2.030968622722014,0.0864221511911621,1,3,0
-0.4274522077266287,0.005445502262944943,1,0,0
3.271988939475142,1.3143584338812393,2,1,1
0.2525197394532095,-2.2113319077183538,0,0,1
-0.8517872610622023,-0.07783881769676769,1,2,1
-2.5124403160546906,0.8937415759449298,1,3,0
0.7102595799018816,0.3393420706087843,2,1,1
4.496910696558432,1.554350607777489,2,1,1
-0.8955115672243293,0.6561424892626333,1,3,0
-1.359851209547951,-1.195001654818333,0,0,0
-2.0026854496904214,0.522463642121028,1,3,0
-0.49522735174406535,3.27681018360311,1,2,1
0.2815132470629365,-0.8336941664455653,0,0,0
-1.261732301707815,-2.5997653928324578,0,0,0
-2.6749918788231497,0.8769015088504851,1,3,0
0.5851140933514931,0.6096220708817482,1,0,0
1.2887306492015609,-1.8163561356437157,0,2,1
1.3248860573175882,0.409108825718492,2,0,0
-0.49523165849430345,-0.05346344955499332,1,0,0
-1.7691834347767763,-0.34788756245783625,1,0,0
0.8174257490550314,-0.6250784471224673,0,1,1
1.7392253074855037,-0.3046164241584865,2,2,-1
-0.09221985800535308,1.0086469271338032,1,3,0
-0.3278430529579654,0.8806117375787512,1,2,1
3.0065241018785023,-1.1729810046307496,2,1,1
0.3098362461801147,0.23296509646884594,1,0,0
-1.276151311634434,-1.36456172763923,0,0,0
1.0061520818889718,-0.44260990963734675,0,2,1
0.21521931054945315,-3.157521487767852,0,0,0
-0.9124100413839542,-1.488083263415643,0,0,0
-1.593679591905309,0.21508028070471402,1,2,1
-2.0020530034552855,-0.14604606831725891,1,0,0
-1.2836355589293407,0.12378505141536407,1,0,0
-1.1784471125889455,1.230951417234237,1,3,0
0.22889633277790736,0.5906431584318242,1,0,0
-0.6834435098374922,-0.05359341150232493,1,0,0
3.1592037551575203,-2.255970601101252,2,1,-1
-0.028471282203189886,1.88300583312357,1,3,0
-0.1616970063454714,-2.197735423774011,0,0,0
2.463884049096004,-0.5098996941689959,2,1,1
1.0543577574582803,-2.954614110874113,0,2,1
-1.0459598111051287,0.26532702371915184,1,2,1
-1.1293670362430697,1.0350247556826515,1,3,0
-1.825354475621043,-0.513737738902105,1,0,0
-0.9406421891526762,1.0899607632221093,1,3,0
-0.8392096665429032,0.6017471708539281,1,3,0
1.5606428190189572,1.8772888734032165,2,2,-1
-0.8755307678089667,-0.5176231847355705,0,0,0
-1.9572024962315269,0.2720593282220079,1,3,0
0.4409235108251976,-1.1947481130743203,0,0,0
-1.0052008585505525,0.8068490734779169,1,3,0
-0.9545485823459295,-0.2579607568533867,1,0,0
-0.691019068001502,-0.8287930943613365,0,0,0
0.835705400392162,-1.1561708162637339,0,2,1
0.6707851813332926,0.9215892458475254,1,0,0
-0.14080083188188397,2.7459433594333333,1,3,0
4.136792044741577,-0.5425815761913602,2,1,1
0.1441250529864395,0.8724971294288174,1,2,1
-0.9019276666212482,-1.0310118463674052,0,2,1
-1.041191704279029,-0.41414210355362296,0,0,0
-0.9566200376661569,-0.3172326860397465,1,0,0
-0.9579507689315426,0.7378331646152977,1,0,0
-2.6402699233456213,0.12497825968099423,1,3,0
-2.5595468359638023,0.6081225363703229,1,3,0
-0.4771493129459882,0.5880347153912553,1,3,0
-0.1218543548169808,1.6217964506145002,1,3,0
2.6218039606838914,1.262165336713883,2,1,1
1.5195749165621708,1.5830729751653947,2,1,0
0.6862946242085255,2.6082112460551485,1,2,1
-0.08762036620029427,1.7433123930581014,1,2,1
-0.4833662768431843,0.7059693791571899,1,3,0
-1.4881010519683793,-1.7090054527077545,0,0,0
0.08224028250217326,-0.5278627253424569,0,0,0
-0.035423009915748906,-0.5784920920702624,0,0,0
-0.3752813195484686,1.1570461275785264,1,3,0
-2.434200886011259,0.5838245012766402,1,3,0
0.02109408077142173,2.5647057037950187,1,3,0
3.9529267467267255,0.5920556684011297,2,1,1
-1.4149998215256572,-0.73752737702256,0,0,0
0.35411189846061275,-1.0209313704219498,0,0,0
2.4652323742790574,1.1802638426267715,2,1,1
-0.4159874391893577,-1.346382406381391,0,0,0
0.9014654508298271,-0.47896088644409346,0,0,0
1.041949486669689,-2.3121835479245276,0,1,1
1.5739866995219454,-1.3462226888660305,2,1,-1
-1.7203704716788313,0.8898218305139179,1,3,0
-0.1750511202029078,0.9472593309220766,1,3,0
-0.4700040191083772,1.4861240094585848,1,2,1
-0.037815658453749484,-1.0842036250555895,0,0,0
-0.5570371380275068,-0.6173989059139074,0,0,0
1.0375820733136405,-0.8679851520012446,0,1,1
2.743474365854955,0.4907495954790723,2,1,1
1.0596107188264998,1.2240084495945431,2,2,1
-0.3956466593612208,-0.7792428974955243,0,2,1
-0.17027644594980285,1.6587738830636447,1,3,0
1.4340964079585612,-1.340436692008804,0,0,0
-0.08588995912095913,-0.4881593786461762,0,0,0
2.6062865458775026,-0.035441852114897525,2,1,1
